State_Alpha,fips2010,State,County,cbsasub,Metro_Area_Name,County_Name,median2017,l50_1,l50_2,l50_3,l50_4,l50_5,l50_6,l50_7,l50_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,MSA,county_town_name,state_name,metro
CA,0600199999,6,1,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,97400,36550,41750,46950,52150,56350,60500,64700,68850,21950,25050,28200,31300,33850,36350,38850,41350,56300,64350,72400,80400,86850,93300,99700,106150,5775,Alameda County,California,1
CA,0600399999,6,3,NCNTY06003N06003,"Alpine County, CA",Alpine County,74200,27300,31200,35100,39000,42150,45250,48400,51500,16400,18750,21100,24600,28780,32960,37140,41320,43750,50000,56250,62450,67450,72450,77450,82450,9999,Alpine County,California,0
CA,0600599999,6,5,NCNTY06005N06005,"Amador County, CA",Amador County,70900,24850,28400,31950,35450,38300,41150,44000,46800,14900,17000,20420,24600,28780,32960,37140,41320,39700,45400,51050,56700,61250,65800,70350,74850,9999,Amador County,California,0
CA,0600799999,6,7,METRO17020M17020,"Chico, CA MSA",Butte County,62600,21950,25050,28200,31300,33850,36350,38850,41350,13200,16240,20420,24600,28780,32960,37140,41320,35100,40100,45100,50100,54150,58150,62150,66150,1620,Butte County,California,1
CA,0600999999,6,9,NCNTY06009N06009,"Calaveras County, CA",Calaveras County,69200,24250,27700,31150,34600,37400,40150,42950,45700,14550,16600,20420,24600,28780,32960,37140,41320,38750,44300,49850,55350,59800,64250,68650,73100,9999,Calaveras County,California,0
CA,0601199999,6,11,NCNTY06011N06011,"Colusa County, CA",Colusa County,58300,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Colusa County,California,0
CA,0601399999,6,13,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",Contra Costa County,97400,36550,41750,46950,52150,56350,60500,64700,68850,21950,25050,28200,31300,33850,36350,38850,41350,56300,64350,72400,80400,86850,93300,99700,106150,5775,Contra Costa County,California,1
CA,0601599999,6,15,NCNTY06015N06015,"Del Norte County, CA",Del Norte County,54100,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Del Norte County,California,0
CA,0601799999,6,17,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",El Dorado County,75200,26000,29700,33400,37100,40100,43050,46050,49000,15600,17800,20420,24600,28780,32960,37140,41320,41550,47500,53450,59350,64100,68850,73600,78350,6920,El Dorado County,California,1
CA,0601999999,6,19,METRO23420M23420,"Fresno, CA MSA",Fresno County,50000,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,2840,Fresno County,California,1
CA,0602199999,6,21,NCNTY06021N06021,"Glenn County, CA",Glenn County,53600,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Glenn County,California,0
CA,0602399999,6,23,NCNTY06023N06023,"Humboldt County, CA",Humboldt County,54500,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Humboldt County,California,0
CA,0602599999,6,25,METRO20940M20940,"El Centro, CA MSA",Imperial County,49700,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Imperial County,California,1
CA,0602799999,6,27,NCNTY06027N06027,"Inyo County, CA",Inyo County,71200,24950,28500,32050,35600,38450,41300,44150,47000,14950,17100,20420,24600,28780,32960,37140,41320,39900,45600,51300,56950,61550,66100,70650,75200,9999,Inyo County,California,0
CA,0602999999,6,29,METRO12540M12540,"Bakersfield, CA MSA",Kern County,53000,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,680,Kern County,California,1
CA,0603199999,6,31,METRO25260M25260,"Hanford-Corcoran, CA MSA",Kings County,50200,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Kings County,California,1
CA,0603399999,6,33,NCNTY06033N06033,"Lake County, CA",Lake County,46200,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Lake County,California,0
