State,cbsasub,areaname,median2017,lim50_17p1,lim50_17p2,lim50_17p3,lim50_17p4,lim50_17p5,lim50_17p6,lim50_17p7,lim50_17p8,Lim60_17p1,Lim60_17p2,Lim60_17p3,Lim60_17p4,Lim60_17p5,Lim60_17p6,Lim60_17p7,Lim60_17p8,HERA_Lim_type17,Lim50_HERA_17p1,Lim50_HERA_17p2,Lim50_HERA_17p3,Lim50_HERA_17p4,Lim50_HERA_17p5,Lim50_HERA_17p6,Lim50_HERA_17p7,Lim50_HERA_17p8,Lim60_HERA_17p1,Lim60_HERA_17p2,Lim60_HERA_17p3,Lim60_HERA_17p4,Lim60_HERA_17p5,Lim60_HERA_17p6,Lim60_HERA_17p7,Lim60_HERA_17p8,fips2010,statename,metro,county_town_name,stusps,county,county_name
6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",97400,36550,41750,46950,52150,56350,60500,64700,68850,43860,50100,56340,62580,67620,72600,77640,82620,Regular,,,,,,,,,,,,,,,,,0600199999,CALIFORNIA,1,Alameda County,CA,1,Alameda County
6,NCNTY06003N06003,"Alpine County, CA",74200,27300,31200,35100,39000,42150,45250,48400,51500,32760,37440,42120,46800,50580,54300,58080,61800,Regular,,,,,,,,,,,,,,,,,0600399999,CALIFORNIA,0,Alpine County,CA,3,Alpine County
6,NCNTY06005N06005,"Amador County, CA",70900,24850,28400,31950,35450,38300,41150,44000,46800,29820,34080,38340,42540,45960,49380,52800,56160,Regular,,,,,,,,,,,,,,,,,0600599999,CALIFORNIA,0,Amador County,CA,5,Amador County
6,METRO17020M17020,"Chico, CA MSA",62600,21950,25050,28200,31300,33850,36350,38850,41350,26340,30060,33840,37560,40620,43620,46620,49620,Regular,,,,,,,,,,,,,,,,,0600799999,CALIFORNIA,1,Butte County,CA,7,Butte County
6,NCNTY06009N06009,"Calaveras County, CA",69200,24250,27700,31150,34600,37400,40150,42950,45700,29100,33240,37380,41520,44880,48180,51540,54840,Regular,,,,,,,,,,,,,,,,,0600999999,CALIFORNIA,0,Calaveras County,CA,9,Calaveras County
6,NCNTY06011N06011,"Colusa County, CA",58300,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0601199999,CALIFORNIA,0,Colusa County,CA,11,Colusa County
6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",97400,36550,41750,46950,52150,56350,60500,64700,68850,43860,50100,56340,62580,67620,72600,77640,82620,Regular,,,,,,,,,,,,,,,,,0601399999,CALIFORNIA,1,Contra Costa County,CA,13,Contra Costa County
6,NCNTY06015N06015,"Del Norte County, CA",54100,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0601599999,CALIFORNIA,0,Del Norte County,CA,15,Del Norte County
6,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",75200,26000,29700,33400,37100,40100,43050,46050,49000,31200,35640,40080,44520,48120,51660,55260,58800,Regular,,,,,,,,,,,,,,,,,0601799999,CALIFORNIA,1,El Dorado County,CA,17,El Dorado County
6,METRO23420M23420,"Fresno, CA MSA",50000,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0601999999,CALIFORNIA,1,Fresno County,CA,19,Fresno County
6,NCNTY06021N06021,"Glenn County, CA",53600,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0602199999,CALIFORNIA,0,Glenn County,CA,21,Glenn County
6,NCNTY06023N06023,"Humboldt County, CA",54500,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0602399999,CALIFORNIA,0,Humboldt County,CA,23,Humboldt County
6,METRO20940M20940,"El Centro, CA MSA",49700,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0602599999,CALIFORNIA,1,Imperial County,CA,25,Imperial County
6,NCNTY06027N06027,"Inyo County, CA",71200,24950,28500,32050,35600,38450,41300,44150,47000,29940,34200,38460,42720,46140,49560,52980,56400,Regular,,,,,,,,,,,,,,,,,0602799999,CALIFORNIA,0,Inyo County,CA,27,Inyo County
6,METRO12540M12540,"Bakersfield, CA MSA",53000,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0602999999,CALIFORNIA,1,Kern County,CA,29,Kern County
